Template,TemplateID
[#8:3]-[C:4](=[O;D1;H0:5])-[CH;D2;+0:6]=[CH;D2;+0:1]-[C:2]>>O=[CH;D2;+0:1]-[C:2].[#8:3]-[C:4](=[O;D1;H0:5])-[CH;D2;+0:6]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,32
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:5]-[C:4]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C:4]-[NH2;D1;+0:5],33
[C:2]-[N;H0;D3;+0:3](-[C:4])-[CH3;D1;+0:1]>>O=[CH2;D1;+0:1].[C:2]-[NH;D2;+0:3]-[C:4],34
[#7:4]-[C:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:6](-[C;D1;H3:5])-[C;D1;H3:7]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]-[#7:4].[C;D1;H3:5]-[NH;D2;+0:6]-[C;D1;H3:7],35
[C:3]-[S;H0;D2;+0:4]-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[C:3]-[SH;D1;+0:4],36
[C:5]-[N;H0;D3;+0:6](-[C:7])-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[C:5]-[NH;D2;+0:6]-[C:7],37
[C:4]-[NH;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Cl-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[NH2;D1;+0:5],38
[C:2]-[CH;D3;+0:1](-[C:3])-[NH;D2;+0:5]-[C:4]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[C:4]-[NH2;D1;+0:5],39
[C:5]-[NH;D2;+0:6]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[C:5]-[NH2;D1;+0:6],40
[#7;a:5]:[c:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:7]-[C:6]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#7;a:5].[C:6]-[NH2;D1;+0:7],41
[#7:3]-[C:4](=[O;D1;H0:5])-[N;H0;D3;+0:6](-[C:7]=[O;D1;H0:8])-[CH2;D2;+0:1]-[C:2]>>Cl-[CH2;D2;+0:1]-[C:2].[#7:3]-[C:4](=[O;D1;H0:5])-[NH;D2;+0:6]-[C:7]=[O;D1;H0:8],42
[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[OH;D1;+0:4]-[c:5],43
[C:8]-[N;H0;D3;+0:9](-[C;D1;H3:10])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[#8:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[C;D1;H3:7]>>C-C(-C)(-C)-O-C(=O)-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[#8:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[C;D1;H3:7].[C:8]-[NH;D2;+0:9]-[C;D1;H3:10],44
[C:5]-[O;H0;D2;+0:6]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[C:5]-[OH;D1;+0:6],45
[C;D1;H3:4]-[N;H0;D3;+0:5](-[C;D1;H3:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[C;D1;H3:4]-[NH;D2;+0:5]-[C;D1;H3:6],46
[c:7]:[c;H0;D3;+0:6](:[c:8])-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:1>>I-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:1.O-B(-O)-[c;H0;D3;+0:6](:[c:7]):[c:8],47
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[N;H0;D3;+0:5](-[C:4])-[C:6]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C:4]-[NH;D2;+0:5]-[C:6],48
[C:1]#[C;H0;D2;+0:2]-[C@;H0;D4;+0:7](-[OH;D1;+0:8])(-[c:9])-[C:4](-[F;D1;H0:3])(-[F;D1;H0:5])-[F;D1;H0:6]>>[C:1]#[CH;D1;+0:2].[F;D1;H0:3]-[C:4](-[F;D1;H0:5])(-[F;D1;H0:6])-[C;H0;D3;+0:7](=[O;H0;D1;+0:8])-[c:9],49
[NH2;D1;+0:1]-[c:2]>>O=[N+;H0;D3:1](-[O-])-[c:2],50
[O;D1;H0:3]=[C;H0;D3;+0:4](-[NH;D2;+0:5]-[C:6]=[O;D1;H0:7])-[NH;D2;+0:1]-[c:2]>>[NH2;D1;+0:1]-[c:2].[O;D1;H0:3]=[C;H0;D2;+0:4]=[N;H0;D2;+0:5]-[C:6]=[O;D1;H0:7],51
[#7;a:5]:[#7;a:6]:[c:7]-[NH;D2;+0:8]-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4].[#7;a:5]:[#7;a:6]:[c:7]-[NH2;D1;+0:8],52
[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH2;D1;+0:8],53
[#7;a:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:6]-[C:5]>>C-C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#7;a:4].[C:5]-[NH2;D1;+0:6],54
[#8;a:7]:[c:6]1:[c:5]:[#7;a:4]:[c:3]:[#7;a:2]:[c;H0;D3;+0:1]:1-[NH;D2;+0:9]-[C:8]>>Cl-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1:[#8;a:7].[C:8]-[NH2;D1;+0:9],55
[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3].O-B(-O)-[c;H0;D3;+0:4](:[c:5]):[c:6],56
[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[NH;D2;+0:4]-[c:5]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3].[NH2;D1;+0:4]-[c:5],57
[#7;a:5]:[#8;a:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:7](-[C:6])-[C:8]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#8;a:4]:[#7;a:5].[C:6]-[NH;D2;+0:7]-[C:8],58
[Br;H0;D1;+0:1]-[CH2;D2;+0:2]-[c:3]>>O=C1-C-C-C(=O)-N-1-[Br;H0;D1;+0:1].[CH3;D1;+0:2]-[c:3],59
[C:2]=[C;H0;D3;+0:1](-[C:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>F-C(-F)(-F)-S(=O)(=O)-O-[C;H0;D3;+0:1](=[C:2])-[C:3].O-B(-O)-[c;H0;D3;+0:4](:[c:5]):[c:6],60
[#7:1]-[C:2](=[O;D1;H0:3])-[N;H0;D3;+0:4](-[C:5])-[C;H0;D3;+0:8](=[O;D1;H0:9])-[NH;D2;+0:7]-[C;D1;H3:6]>>[#7:1]-[C:2](=[O;D1;H0:3])-[NH;D2;+0:4]-[C:5].[C;D1;H3:6]-[N;H0;D2;+0:7]=[C;H0;D2;+0:8]=[O;D1;H0:9],61
[C:4]-[NH;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[NH2;D1;+0:5],62
[C:5]-[O;H0;D2;+0:6]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C;D1;H2:4]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C;D1;H2:4].[C:5]-[OH;D1;+0:6],63
[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>F-C(-F)(-F)-C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[C:4]-[NH2;D1;+0:5],64
[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[#7;a:2])-[NH;D2;+0:5]-[c:6]1:[c:7]:[#7;a:8]:[#7;a:9]:[c:10]:1>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4].[NH2;D1;+0:5]-[c:6]1:[c:7]:[#7;a:8]:[#7;a:9]:[c:10]:1,65
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:5]-[C:4]>>F-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C:4]-[NH3+;D1:5],66
[c:7]:[c;H0;D3;+0:6](:[c:8])-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:1>>Cl-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:1.O-B(-O)-[c;H0;D3;+0:6](:[c:7]):[c:8],67
[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-C-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3],68
[#7;a:4]:[c:3](:[#7;a:5])-[C;H0;D3;+0:1](-[NH2;D1;+0:6])=[O;D1;H0:2]>>C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[#7;a:5].[NH3;D0;+0:6],69
[#7;a:1]:[c:2]-[CH;D3;+0:3](-[C:4])-[CH2;D2;+0:5]-[C:6]>>[#7;a:1]:[c:2]-[C;H0;D3;+0:3](-[C:4])=[CH;D2;+0:5]-[C:6],70
[C:2]-[NH;D2;+0:1]-[C:3]>>C-C(-C)(-C)-O-C(=O)-[N;H0;D3;+0:1](-[C:2])-[C:3],71
[#7;a:3]:[n;H0;D3;+0:4](-[CH2;D2;+0:1]-[C:2]):[c:5]-[C:6](-[#8:7])=[O;D1;H0:8]>>Br-[CH2;D2;+0:1]-[C:2].[#7;a:3]:[nH;D2;+0:4]:[c:5]-[C:6](-[#8:7])=[O;D1;H0:8],72
[#16;a:5]:[c:4]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[NH;D2;+0:10]-[c:8](:[#7;a:9]):[c:7]:[#7;a:6]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]:[#16;a:5].[#7;a:6]:[c:7]:[c:8](:[#7;a:9])-[NH2;D1;+0:10],73
[O;D1;H0:3]=[C:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:4]-[c:5]>>Br-[CH2;D2;+0:1]-[C:2]=[O;D1;H0:3].[OH;D1;+0:4]-[c:5],74
[C:1]-[NH;D2;+0:2]-[C;H0;D3;+0:3](=[S;D1;H0:4])-[NH;D2;+0:6]-[C:5]>>[C:1]-[N;H0;D2;+0:2]=[C;H0;D2;+0:3]=[S;D1;H0:4].[C:5]-[NH2;D1;+0:6],75
[#7:1]-[C:2](=[O;D1;H0:3])-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[O;H0;D2;+0:7]-[C:6]>>[#7:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[CH2;D1;+0:5].[C:6]-[OH;D1;+0:7],76
[C:2]-[CH2;D2;+0:1]-[OH;D1;+0:3]>>C-O-[C;H0;D3;+0:1](-[C:2])=[O;H0;D1;+0:3],77
[CH3;D1;+0:1]-[NH;D2;+0:2]-[c:3]>>O=[CH2;D1;+0:1].[NH2;D1;+0:2]-[c:3],78
[#7;a:5]:[c:4]:[#7;a:3]:[c;H0;D3;+0:1](:[c:2])-[N;H0;D3;+0:7](-[C:6])-[C:8]>>Cl-[c;H0;D3;+0:1](:[c:2]):[#7;a:3]:[c:4]:[#7;a:5].[C:6]-[NH;D2;+0:7]-[C:8],79
[#7;a:4]:[#8;a:3]:[c:2]-[CH2;D2;+0:1]-[n;H0;D3;+0:6](:[#7;a:5]):[c:7]:[c:8]:[#7;a:9]>>Cl-[CH2;D2;+0:1]-[c:2]:[#8;a:3]:[#7;a:4].[#7;a:5]:[nH;D2;+0:6]:[c:7]:[c:8]:[#7;a:9],80
[#16;a:3]:[c;H0;D3;+0:2](:[#7;a:4])-[I;H0;D1;+0:1]>>I-C-[I;H0;D1;+0:1].N-[c;H0;D3;+0:2](:[#16;a:3]):[#7;a:4],81
[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],82
[#7;a:3]1:[#7;a:2]:[c;H0;D3;+0:1](-[c;H0;D3;+0:6]2:[c:7]:[#7;a:8]:[#7;a:9]:[c:10]:2):[c:5]:[c:4]:1>>Br-[c;H0;D3;+0:1]1:[#7;a:2]:[#7;a:3]:[c:4]:[c:5]:1.C-C1(-C)-O-B(-[c;H0;D3;+0:6]2:[c:7]:[#7;a:8]:[#7;a:9]:[c:10]:2)-O-C-1(-C)-C,83
[C:2]-[OH;D1;+0:1]>>C-C(-C)(-C)-[Si](-C)(-C)-[O;H0;D2;+0:1]-[C:2],84
[OH;D1;+0:1]-[c:2]>>C-C(-C)(-C)-[Si](-C)(-C)-[O;H0;D2;+0:1]-[c:2],85
[#7:4]-[C:3](=[O;D1;H0:5])-[C:2]-[NH2;D1;+0:1]>>C-C(-C)(-C)-O-C(=O)-[NH;D2;+0:1]-[C:2]-[C:3](-[#7:4])=[O;D1;H0:5],86
[#7;a:4]:[c:3]:[c:2](-[NH2;D1;+0:1]):[c:5]:[#7;a:6]>>O=[N;H0;D2;+0:1]-[c:2](:[c:3]:[#7;a:4]):[c:5]:[#7;a:6],87
[#7;a:4]:[#7;a:5]:[c:6]-[NH;D2;+0:7]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[#7;a:4]:[#7;a:5]:[c:6]-[NH2;D1;+0:7],88
[C:4]-[N;H0;D3;+0:5](-[C:6])-[CH;D3;+0:1](-[C:2])-[C:3]>>O-[CH;D3;+0:1](-[C:2])-[C:3].[C:4]-[NH;D2;+0:5]-[C:6],89
[C:4]#[C;H0;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]#[CH;D1;+0:5],90
[O;D1;H0:2]=[C;H0;D3;+0:1](-[c:3])-[NH;D2;+0:4]-[c:5]1:[#7;a:6]:[#7;a:7]:[#7;a:8]:[#7;a:9]:1>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[NH2;D1;+0:4]-[c:5]1:[#7;a:6]:[#7;a:7]:[#7;a:8]:[#7;a:9]:1,91
[C:4]-[N;H0;D3;+0:5](-[c:6])-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[c:6],92
[C:2]-[NH2;D1;+0:1]>>C-C(-C)(-C)-O-C(=O)-[NH;D2;+0:1]-[C:2],93
[#7:4]=[#7:5]-[N;H0;D3;+0:6](-[c:7])-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>C-C(=O)-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[#7:4]=[#7:5]-[NH;D2;+0:6]-[c:7],94
[C:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4],95
[c:4]-[O;H0;D2;+0:3]-[CH2;D2;+0:1]-[c:2]>>Cl-[CH2;D2;+0:1]-[c:2].[OH;D1;+0:3]-[c:4],96
[#16:4]-[N;H0;D3;+0:5](-[C:6])-[CH2;D2;+0:1]-[c:2]:[#7;a:3]>>Br-[CH2;D2;+0:1]-[c:2]:[#7;a:3].[#16:4]-[NH;D2;+0:5]-[C:6],97
[C;D1;H3:2]-[CH;D3;+0:1](-[C;D1;H3:3])-[O;H0;D2;+0:6]-[C:5]=[O;D1;H0:4]>>O-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3].[O;D1;H0:4]=[C:5]-[OH;D1;+0:6],98
[C:7]-[N;H0;D3;+0:8](-[C:9])-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1>>Cl-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1.[C:7]-[NH;D2;+0:8]-[C:9],99
[#8:3]-[C:2]-[CH2;D2;+0:1]-[N;H0;D3;+0:5](-[C:4])-[C:6]>>Br-[CH2;D2;+0:1]-[C:2]-[#8:3].[C:4]-[NH;D2;+0:5]-[C:6],100
[c:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:3]-[c:4]>>Br-[CH2;D2;+0:1]-[c:2].[OH;D1;+0:3]-[c:4],101
[#7:4]-[c:3]:[c;H0;D3;+0:1](-[CH3;D1;+0:5]):[c:2]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]-[#7:4].I-[CH3;D1;+0:5],102
[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[N;H0;D3;+0:5](-[C:4])-[C:6]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3].[C:4]-[NH;D2;+0:5]-[C:6],103
[C:7]-[N;H0;D3;+0:8](-[C:9])-[CH2;D2;+0:1]-[c;H0;D3;+0:5]1:[c:4]:[#7;a:3]:[#7;a:2]:[c:6]:1>>O=[CH2;D1;+0:1].[#7;a:2]1:[#7;a:3]:[c:4]:[cH;D2;+0:5]:[c:6]:1.[C:7]-[NH;D2;+0:8]-[C:9],104
[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[O;H0;D2;+0:5]-[c:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4].[OH;D1;+0:5]-[c:6],105
[c:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:4]-[c:5]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[NH2;D1;+0:4]-[c:5],106
[#7:4]-[C:3](=[O;D1;H0:5])-[C:2]-[OH;D1;+0:1]>>C-C(=O)-[O;H0;D2;+0:1]-[C:2]-[C:3](-[#7:4])=[O;D1;H0:5],107
[#7:4]-[C:3]-[CH;D3;+0:1](-[C:2])-[NH;D2;+0:5]-[c:6]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3]-[#7:4].[NH2;D1;+0:5]-[c:6],108
